Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
55,134,97,8,0,56.7,2,caught,1,v South Africa,Centurion,3-Dec-06
31,54,38,3,0,81.57,3,lbw,1,v West Indies,Nagpur,21-Jan-07
0,6,6,0,0,0,4,caught,1,v West Indies,Cuttack,24-Jan-07
60,112,66,2,0,90.9,4,caught,1,v West Indies,Chennai,27-Jan-07
100*,110,76,10,1,131.57,4,not out,1,v West Indies,Vadodara,31-Jan-07
TDNB,-,-,-,-,-,-,-,-,v Sri Lanka,Kolkata,8-Feb-07
54,94,61,9,0,88.52,4,stumped,2,v Sri Lanka,Rajkot,11-Feb-07
1,13,8,0,0,12.5,3,bowled,2,v Sri Lanka,Margao,14-Feb-07
4,4,3,1,0,133.33,2,bowled,2,v Ireland,Belfast,23-Jun-07
17,52,33,1,0,51.51,2,caught,2,v England,Southampton,21-Aug-07
99,158,112,15,1,88.39,2,caught,1,v England,Bristol,24-Aug-07
8,42,19,1,0,42.1,2,caught,2,v England,Birmingham,27-Aug-07
55,128,86,9,0,63.95,2,caught,1,v England,Manchester,30-Aug-07
71,87,59,13,0,120.33,2,caught,1,v England,Leeds,2-Sep-07
94,120,81,16,1,116.04,2,caught,2,v England,The Oval,5-Sep-07
30,80,46,4,0,65.21,2,caught,1,v England,Lord's,8-Sep-07
16,43,25,1,1,64,2,caught,2,v Australia,Kochi,2-Oct-07
43,119,71,6,0,60.56,2,bowled,2,v Australia,Hyderabad (Deccan),5-Oct-07
79,184,119,7,0,66.38,2,run out,1,v Australia,Chandigarh,8-Oct-07
47,128,73,9,0,64.38,2,caught,1,v Australia,Vadodara,11-Oct-07
72,105,72,9,1,100,2,stumped,2,v Australia,Nagpur,14-Oct-07
21,52,36,4,0,58.33,2,bowled,2,v Australia,Mumbai,17-Oct-07
4,14,7,1,0,57.14,2,lbw,2,v Pakistan,Guwahati,5-Nov-07
99,130,91,14,1,108.79,2,caught,1,v Pakistan,Mohali,8-Nov-07
29,54,27,5,0,107.4,2,caught,1,v Pakistan,Kanpur,11-Nov-07
97,149,102,16,0,95.09,2,bowled,2,v Pakistan,Gwalior,15-Nov-07
30,54,27,6,0,111.11,2,caught,2,v Pakistan,Jaipur,18-Nov-07
44,123,54,3,0,81.48,2,caught,2,v Australia,Melbourne,10-Feb-08
5,23,15,1,0,33.33,2,lbw,2,v Australia,Adelaide,17-Feb-08
2,3,3,0,0,66.66,2,lbw,2,v Australia,Sydney,24-Feb-08
117*,235,120,10,0,97.5,2,not out,2,v Australia,Sydney,2-Mar-08
91,176,121,7,0,75.2,2,caught,1,v Australia,Brisbane,4-Mar-08
11,40,21,2,0,52.38,2,bowled,1,v England,Bengaluru,23-Nov-08
50,99,57,6,0,87.71,2,bowled,2,v England,Cuttack,26-Nov-08
5,15,16,0,0,31.25,2,lbw,2,v Sri Lanka,Dambulla,28-Jan-09
6,11,9,0,0,66.66,2,lbw,1,v Sri Lanka,Colombo (RPS),31-Jan-09
7,9,12,0,1,58.33,2,lbw,1,v Sri Lanka,Colombo (RPS),3-Feb-09
20,43,23,2,0,86.95,2,caught,1,v New Zealand,Napier,3-Mar-09
163*,206,133,16,5,122.55,2,retired notout,1,v New Zealand,Christchurch,8-Mar-09
27,63,33,5,0,81.81,2,caught,2,v Sri Lanka,Colombo (RPS),12-Sep-09
138,214,133,10,1,103.75,2,lbw,1,v Sri Lanka,Colombo (RPS),14-Sep-09
14,40,29,2,0,48.27,2,caught,2,v Australia,Vadodara,25-Oct-09
4,14,8,1,0,50,2,caught,1,v Australia,Nagpur,28-Oct-09
32,63,47,2,0,68.08,2,run out,2,v Australia,Delhi,31-Oct-09
40,86,68,6,0,58.82,2,lbw,2,v Australia,Mohali,2-Nov-09
175,210,141,19,4,124.11,2,caught,2,v Australia,Hyderabad (Deccan),5-Nov-09
10,23,17,2,0,58.82,2,caught,1,v Australia,Guwahati,8-Nov-09
69,91,63,10,1,109.52,2,bowled,1,v Sri Lanka,Rajkot,15-Dec-09
43,76,52,4,0,82.69,2,stumped,1,v Sri Lanka,Nagpur,18-Dec-09
96*,187,104,13,0,92.3,2,not out,2,v Sri Lanka,Cuttack,21-Dec-09
8,-,8,2,0,100,2,caught,2,v Sri Lanka,Kolkata,24-Dec-09
4,-,5,1,0,80,2,run out,1,v South Africa,Jaipur,21-Feb-10
200*,226,147,25,3,136.05,2,not out,1,v South Africa,Gwalior,24-Feb-10
7,16,11,0,0,63.63,2,caught,2,v South Africa,Durban,12-Jan-11
24,78,44,2,0,54.54,2,bowled,1,v South Africa,Johannesburg,15-Jan-11
28,46,29,4,0,96.55,2,run out,1,v Bangladesh,Dhaka,19-Feb-11
38,91,56,4,0,67.85,2,lbw,2,v Ireland,Bengaluru,6-Mar-11
27,45,22,6,0,122.72,2,caught,2,v Netherlands,Delhi,9-Mar-11
111,184,101,8,3,109.9,2,caught,1,v South Africa,Nagpur,12-Mar-11
2,4,4,0,0,50,2,caught,1,v West Indies,Chennai,20-Mar-11
53,93,68,7,0,77.94,2,caught,2,v Australia,Ahmedabad,24-Mar-11
85,160,115,11,0,73.91,2,caught,1,v Pakistan,Mohali,30-Mar-11
18,21,14,2,0,128.57,2,caught,2,v Sri Lanka,Mumbai,2-Apr-11
2,9,6,0,0,33.33,2,caught,2,v Australia,Melbourne,5-Feb-12
3,21,12,0,0,25,2,caught,2,v Australia,Brisbane,19-Feb-12
14,34,15,2,0,93.33,2,run out,2,v Australia,Sydney,26-Feb-12
114,205,147,12,1,77.55,2,caught,1,v Bangladesh,Dhaka,16-Mar-12
